scenario_id,baseline_target_id,candidate_present,internally_stable,scenario_target_id,total_score,rank,rank_percentile,centroid_shift_m,geometry_coverage,stable_geometry_coverage,geometry_present_25,geometry_present_50,stable_geometry_present_25
matching_tight,T025,True,False,T016,0.4733785584643278,26.0,0.4897959183673469,5062.114182829147,0.8333333333333334,0.0,True,True,False
matching_tight,T026,True,True,T020,0.5407259157549332,4.0,0.9387755102040817,6413.811706734516,0.8947368421052632,0.42105263157894735,True,True,True
matching_tight,T027,True,True,T022,0.5242666739090015,7.0,0.8775510204081632,4197.48602009624,0.7222222222222222,0.4444444444444444,True,True,True
matching_tight,T028,True,False,T017,0.4523456909562204,46.0,0.08163265306122447,6388.844624824757,0.7,0.0,True,True,False
matching_tight,T029,True,False,T018,0.4590021397385285,37.0,0.26530612244897955,4487.637339280194,0.6666666666666666,0.2222222222222222,True,True,False
matching_tight,T030,True,False,T025,0.5054056723759245,13.0,0.7551020408163265,7083.92767114324,0.8,0.2,True,True,False
matching_tight,T031,True,False,T024,0.4601680604679244,35.0,0.30612244897959184,1625.435577415874,0.9333333333333333,0.0,True,True,False
matching_tight,T032,True,True,T019,0.5279719681021577,6.0,0.8979591836734694,5614.267539047014,1.0,0.5,True,True,True
matching_tight,T033,True,True,T021,0.5462941181795835,3.0,0.9591836734693877,7666.741525563602,0.5454545454545454,0.45454545454545453,True,True,True
matching_tight,T034,False,False,,,,,,0.9090909090909091,0.0,True,True,False
matching_tight,T035,True,False,T023,0.4503585038415711,48.0,0.04081632653061229,4976.507309346912,0.5,0.0,True,True,False
matching_tight,T036,True,False,T027,0.4882657915976381,21.0,0.5918367346938775,4242.640687119285,1.0,0.4,True,True,True
matching_tight,T037,True,False,T029,0.4673707002771934,31.0,0.3877551020408163,3225.871975140985,0.625,0.0,True,True,False
matching_tight,T038,True,True,T026,0.5500668620704303,1.0,1.0,1529.7058540778355,1.0,0.8,True,True,True
matching_tight,T039,True,True,T030,0.5220964335157148,9.0,0.8367346938775511,0.0,1.0,1.0,True,True,True
matching_tight,T040,True,False,T031,0.4584923766809702,39.0,0.22448979591836737,2773.084924769051,0.8666666666666667,0.0,True,True,False
matching_tight,T041,True,False,T028,0.4586217258031158,38.0,0.24489795918367352,4018.014988080505,0.5555555555555556,0.0,True,True,False
matching_tight,T042,True,False,T033,0.5052403715248109,14.0,0.7346938775510203,1921.946292440684,1.0,0.0,True,True,False
matching_tight,T043,True,True,T034,0.5191692284685039,10.0,0.8163265306122449,2858.42700010151,1.0,0.5217391304347826,True,True,True
