centroid_x,centroid_y,period_count,supporting_periods,node_ids_json,network_criticality,removal_impact,period_persistence,parameter_stability,total_score,any_top20,ambiguous_match_count,match_id,geometry_wkt
15359438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 414, ""海西期"": 583}",0.4428724532324739,0.0,0.5,0.0,0.2800053586313659,False,0,M03326,"POLYGON ((15358126.94 5022944.148, 15361126.94 5022944.148, 15361126.94 5019944.148, 15358126.94 5019944.148, 15358126.94 5022944.148))"
15362438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 463, ""海西期"": 644}",0.45480002152803917,0.0,0.5,0.0,0.2841800075348137,False,0,M03327,"POLYGON ((15361126.94 5022944.148, 15364126.94 5022944.148, 15364126.94 5019944.148, 15361126.94 5019944.148, 15361126.94 5022944.148))"
15365438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 512, ""海西期"": 705}",0.6239287338339498,0.0,0.5,0.0,0.3433750568418824,False,0,M03328,"POLYGON ((15364126.94 5022944.148, 15367126.94 5022944.148, 15367126.94 5019944.148, 15364126.94 5019944.148, 15364126.94 5022944.148))"
15368438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 561, ""海西期"": 766}",0.6677351448322708,0.0,0.5,0.5,0.43370730069129476,True,0,M03329,"POLYGON ((15367126.94 5022944.148, 15370126.94 5022944.148, 15370126.94 5019944.148, 15367126.94 5019944.148, 15367126.94 5022944.148))"
15371438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 610, ""海西期"": 827}",0.6734009486861678,0.0,0.5,0.3333333333333333,0.41069033204015876,True,0,M03330,"POLYGON ((15370126.94 5022944.148, 15373126.94 5022944.148, 15373126.94 5019944.148, 15370126.94 5019944.148, 15370126.94 5022944.148))"
15374438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 659, ""海西期"": 888}",0.6922645845750008,0.0,0.5,0.5,0.44229260460125025,True,0,M03331,"POLYGON ((15373126.94 5022944.148, 15376126.94 5022944.148, 15376126.94 5019944.148, 15373126.94 5019944.148, 15373126.94 5022944.148))"
15377438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 708, ""海西期"": 949}",0.5703224341168883,0.0,0.5,0.0,0.32461285194091094,False,0,M03332,"POLYGON ((15376126.94 5022944.148, 15379126.94 5022944.148, 15379126.94 5019944.148, 15376126.94 5019944.148, 15376126.94 5022944.148))"
15380438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 757, ""海西期"": 1010}",0.6154544709330186,0.0,0.5,0.0,0.34040906482655653,False,0,M03333,"POLYGON ((15379126.94 5022944.148, 15382126.94 5022944.148, 15382126.94 5019944.148, 15379126.94 5019944.148, 15379126.94 5022944.148))"
15383438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 806, ""海西期"": 1071}",0.8498082422744034,0.0,0.5,1.0,0.5724328847960412,True,0,M03334,"POLYGON ((15382126.94 5022944.148, 15385126.94 5022944.148, 15385126.94 5019944.148, 15382126.94 5019944.148, 15382126.94 5022944.148))"
15386438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 855, ""海西期"": 1132}",0.8527185466544143,0.0,0.5,1.0,0.5734514913290449,True,0,M03335,"POLYGON ((15385126.94 5022944.148, 15388126.94 5022944.148, 15388126.94 5019944.148, 15385126.94 5019944.148, 15385126.94 5022944.148))"
15389438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 904, ""海西期"": 1193}",0.7676466351446034,0.0,0.5,1.0,0.5436763223006111,True,0,M03336,"POLYGON ((15388126.94 5022944.148, 15391126.94 5022944.148, 15391126.94 5019944.148, 15388126.94 5019944.148, 15388126.94 5022944.148))"
15392438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 953, ""海西期"": 1254}",0.7704021694374068,0.0,0.5,1.0,0.5446407593030923,True,0,M03337,"POLYGON ((15391126.94 5022944.148, 15394126.94 5022944.148, 15394126.94 5019944.148, 15391126.94 5019944.148, 15391126.94 5022944.148))"
15395438.105,5021384.4325,2,喜山期|海西期,"{""喜山期"": 1002, ""海西期"": 1315}",0.7751999376840863,0.0,0.5,1.0,0.5463199781894302,True,0,M03338,"POLYGON ((15394126.94 5022944.148, 15397126.94 5022944.148, 15397126.94 5019944.148, 15394126.94 5019944.148, 15394126.94 5022944.148))"
