centroid_x,centroid_y,period_count,supporting_periods,node_ids_json,network_criticality,removal_impact,period_persistence,parameter_stability,total_score,any_top20,ambiguous_match_count,match_id,target_cluster,target_id,geometry_wkt
15398438.105,5072384.4325,2,喜山期|海西期,"{""喜山期"": 1034, ""海西期"": 1359}",0.7239020103149549,0.0,0.5,0.5,0.4533657036102342,True,0,M01367,3,T004,"POLYGON ((15397126.94 5073944.148, 15400126.94 5073944.148, 15400126.94 5070944.148, 15397126.94 5070944.148, 15397126.94 5073944.148))"
15401438.105,5072384.4325,2,喜山期|海西期,"{""喜山期"": 1083, ""海西期"": 1420}",0.7256133252792204,0.0,0.5,0.5,0.45396466384772716,True,0,M01368,3,T004,"POLYGON ((15400126.94 5073944.148, 15403126.94 5073944.148, 15403126.94 5070944.148, 15400126.94 5070944.148, 15400126.94 5073944.148))"
15401438.105,5066384.4325,2,喜山期|海西期,"{""喜山期"": 1085, ""海西期"": 1422}",0.6889514253223261,0.0,0.5,0.5,0.44113299886281415,True,0,M01600,7,T008,"POLYGON ((15400126.94 5067944.148, 15403126.94 5067944.148, 15403126.94 5064944.148, 15400126.94 5064944.148, 15400126.94 5067944.148))"
15404438.105,5066384.4325,2,喜山期|海西期,"{""喜山期"": 1134, ""海西期"": 1483}",0.689940874494019,0.0,0.5,0.5,0.44147930607290664,True,0,M01601,7,T008,"POLYGON ((15403126.94 5067944.148, 15406126.94 5067944.148, 15406126.94 5064944.148, 15403126.94 5064944.148, 15403126.94 5067944.148))"
15446438.105,5066384.4325,2,喜山期|海西期,"{""喜山期"": 1820, ""海西期"": 2337}",0.7552053311343694,0.0,0.5,0.5,0.4643218658970293,True,0,M01615,4,T005,"POLYGON ((15445126.94 5067944.148, 15448126.94 5067944.148, 15448126.94 5064944.148, 15445126.94 5064944.148, 15445126.94 5067944.148))"
15383438.105,5063384.4325,2,喜山期|海西期,"{""喜山期"": 792, ""海西期"": 1057}",0.6800306098075737,0.0,0.5,0.5,0.4380107134326508,True,0,M01710,8,T009,"POLYGON ((15382126.94 5064944.148, 15385126.94 5064944.148, 15385126.94 5061944.148, 15382126.94 5061944.148, 15382126.94 5064944.148))"
15386438.105,5063384.4325,2,喜山期|海西期,"{""喜山期"": 841, ""海西期"": 1118}",0.6746263656601115,0.0,0.5,0.5,0.436119227981039,True,0,M01711,8,T009,"POLYGON ((15385126.94 5064944.148, 15388126.94 5064944.148, 15388126.94 5061944.148, 15385126.94 5061944.148, 15385126.94 5064944.148))"
15401438.105,5063384.4325,2,喜山期|海西期,"{""喜山期"": 1086, ""海西期"": 1423}",0.6990482149485172,0.0,0.5,0.5,0.444666875231981,True,0,M01716,7,T008,"POLYGON ((15400126.94 5064944.148, 15403126.94 5064944.148, 15403126.94 5061944.148, 15400126.94 5061944.148, 15400126.94 5064944.148))"
15404438.105,5063384.4325,2,喜山期|海西期,"{""喜山期"": 1135, ""海西期"": 1484}",0.7109315284002488,0.0,0.5,0.5,0.44882603494008705,True,0,M01717,7,T008,"POLYGON ((15403126.94 5064944.148, 15406126.94 5064944.148, 15406126.94 5061944.148, 15403126.94 5061944.148, 15403126.94 5064944.148))"
15443438.105,5063384.4325,2,喜山期|海西期,"{""喜山期"": 1772, ""海西期"": 2277}",0.7528431113309013,0.0,0.5,0.3333333333333333,0.4384950889658154,True,0,M01730,4,T005,"POLYGON ((15442126.94 5064944.148, 15445126.94 5064944.148, 15445126.94 5061944.148, 15442126.94 5061944.148, 15442126.94 5064944.148))"
15446438.105,5063384.4325,2,喜山期|海西期,"{""喜山期"": 1821, ""海西期"": 2338}",0.7781776340784481,0.0,0.5,0.5,0.47236217192745683,True,0,M01731,4,T005,"POLYGON ((15445126.94 5064944.148, 15448126.94 5064944.148, 15448126.94 5061944.148, 15445126.94 5061944.148, 15445126.94 5064944.148))"
15449438.105,5063384.4325,2,喜山期|海西期,"{""喜山期"": 1870, ""海西期"": 2399}",0.7359278027761023,0.0,0.5,0.5,0.4575747309716358,True,0,M01732,4,T005,"POLYGON ((15448126.94 5064944.148, 15451126.94 5064944.148, 15451126.94 5061944.148, 15448126.94 5061944.148, 15448126.94 5064944.148))"
15383438.105,5060384.4325,2,喜山期|海西期,"{""喜山期"": 793, ""海西期"": 1058}",0.6959937254321451,0.0,0.5,0.5,0.44359780390125075,True,0,M01826,8,T009,"POLYGON ((15382126.94 5061944.148, 15385126.94 5061944.148, 15385126.94 5058944.148, 15382126.94 5058944.148, 15382126.94 5061944.148))"
15386438.105,5060384.4325,2,喜山期|海西期,"{""喜山期"": 842, ""海西期"": 1119}",0.6771782441058785,0.0,0.5,0.5,0.43701238543705745,True,0,M01827,8,T009,"POLYGON ((15385126.94 5061944.148, 15388126.94 5061944.148, 15388126.94 5058944.148, 15385126.94 5058944.148, 15385126.94 5061944.148))"
15401438.105,5060384.4325,2,喜山期|海西期,"{""喜山期"": 1087, ""海西期"": 1424}",0.7004989799549483,0.0,0.5,0.5,0.44517464298423187,True,0,M01832,7,T008,"POLYGON ((15400126.94 5061944.148, 15403126.94 5061944.148, 15403126.94 5058944.148, 15400126.94 5058944.148, 15400126.94 5061944.148))"
15404438.105,5060384.4325,2,喜山期|海西期,"{""喜山期"": 1136, ""海西期"": 1485}",0.8027059944347432,0.0,0.5,0.5,0.4809470980521601,True,0,M01833,7,T008,"POLYGON ((15403126.94 5061944.148, 15406126.94 5061944.148, 15406126.94 5058944.148, 15403126.94 5058944.148, 15403126.94 5061944.148))"
15407438.105,5060384.4325,2,喜山期|海西期,"{""喜山期"": 1185, ""海西期"": 1546}",0.8090172017389164,0.0,0.5,0.5,0.48315602060862073,True,0,M01834,7,T008,"POLYGON ((15406126.94 5061944.148, 15409126.94 5061944.148, 15409126.94 5058944.148, 15406126.94 5058944.148, 15406126.94 5061944.148))"
15410438.105,5060384.4325,2,喜山期|海西期,"{""喜山期"": 1234, ""海西期"": 1607}",0.808429545462911,0.0,0.5,0.5,0.4829503409120188,True,0,M01835,7,T008,"POLYGON ((15409126.94 5061944.148, 15412126.94 5061944.148, 15412126.94 5058944.148, 15409126.94 5058944.148, 15409126.94 5061944.148))"
15413438.105,5060384.4325,2,喜山期|海西期,"{""喜山期"": 1283, ""海西期"": 1668}",0.7355634750353834,0.0,0.5,0.5,0.4574472162623842,True,0,M01836,5,T006,"POLYGON ((15412126.94 5061944.148, 15415126.94 5061944.148, 15415126.94 5058944.148, 15412126.94 5058944.148, 15412126.94 5061944.148))"
15416438.105,5060384.4325,2,喜山期|海西期,"{""喜山期"": 1332, ""海西期"": 1729}",0.7362461695460418,0.0,0.5,0.5,0.4576861593411146,True,0,M01837,5,T006,"POLYGON ((15415126.94 5061944.148, 15418126.94 5061944.148, 15418126.94 5058944.148, 15415126.94 5058944.148, 15415126.94 5061944.148))"
