baseline_target_id,centroid_x,centroid_y,baseline_score,baseline_evidence_status,scenario_count,matched_scenario_count,candidate_occurrence_frequency,centroid_match_occurrence_frequency,geometry_occurrence_frequency_25,geometry_occurrence_frequency_50,internally_stable_occurrence_frequency,internally_stable_geometry_occurrence_frequency_25,geometry_coverage_mean,geometry_coverage_q05,score_q05,score_median,score_q95,rank_q05,rank_median,rank_q95,rank_percentile_q05,rank_percentile_median,rank_percentile_q95,centroid_shift_q50_m,centroid_shift_q95_m,robustness_tier,decision_tier
T019,15465338.105,5044484.432499999,0.4589598166192085,internal_partial,15,15,0.8,1.0,0.8,0.8,0.0,0.0,1.0,0.0,0.4554537097538422,0.4589598166192085,0.5271508764492845,40.4,56.0,63.199999999999996,0.25024110218140067,0.3125,0.4161585365853657,0.0,4277.9286777403095,robust_occurrence,recurring_unstable_candidate
T020,15383438.105,5040884.4325,0.4625632816411688,internal_partial,15,14,0.8,0.9333333333333333,0.8,0.8,0.0,0.0,1.0,0.0,0.4619851264031153,0.4625632816411688,0.484150665526106,38.9,48.0,52.099999999999994,0.34402985074626863,0.4125,0.47031249999999997,0.0,3022.1016095933674,robust_occurrence,recurring_unstable_candidate
T021,15454152.390714288,5040670.146785715,0.4657184883575986,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.4657184883575986,0.4657282132811886,0.5424492166624019,27.5,45.0,47.099999999999994,0.4314179104477612,0.44999999999999996,0.6498686679174484,0.0,5249.025961763831,robust_occurrence,recurring_unstable_candidate
T022,15434938.104999997,5039384.432499999,0.4434370877585274,internal_partial,15,14,0.8,0.9333333333333333,0.8,0.7333333333333333,0.0,0.0,1.0,0.0,0.4434370877585274,0.44351934440389196,0.5168733680793602,48.25,74.0,78.55,0.0609814323607427,0.08750000000000002,0.4725736788617886,0.0,7089.047333450115,robust_occurrence,recurring_unstable_candidate
T023,15407438.105,5039009.4325,0.4854816711913849,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.0,0.47966939201295816,0.4854816711913849,0.5480594041528299,18.8,28.0,32.599999999999994,0.650625,0.6625,0.7450309428467419,0.0,3730.5737291784126,robust_occurrence,recurring_unstable_candidate
T024,15416438.105,5038784.4325,0.4486708553824126,internal_partial,15,14,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8,0.0,0.0,1.0,0.0,0.4477592476563386,0.4486708553824126,0.5351670645278512,24.05,66.0,72.75,0.15750000000000003,0.1875,0.7263719512195121,0.0,6521.484820527129,robust_occurrence,recurring_unstable_candidate
T025,15446738.105,5038184.432499999,0.4975064127740858,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8,0.0,0.0,1.0,0.0,0.48305227584277444,0.4975064127740858,0.5444882027376808,20.4,21.0,40.79999999999996,0.44988742964352724,0.75,0.7779920212765958,1.862645149230957e-09,5509.553134933568,robust_occurrence,recurring_unstable_candidate
T026,15486638.105,5035784.4325,0.4658482584622155,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.4589653787149172,0.4658482584622155,0.5334071312066476,27.0,44.0,57.299999999999976,0.340625,0.4625,0.5858724202626638,0.0,1795.926036991413,robust_occurrence,recurring_unstable_candidate
T027,15372938.105,5034884.4325,0.4424827631126301,internal_partial,15,14,0.8,0.9333333333333333,0.8,0.8,0.0,0.0,1.0,0.0,0.4420774150749199,0.4424827631126301,0.51271602169158,58.65,77.0,81.5,0.01120689655172416,0.050000000000000044,0.23108485772357718,0.0,4683.728233696221,robust_occurrence,recurring_unstable_candidate
T028,15464438.105,5034884.4325,0.4518010785681904,internal_partial,15,14,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8,0.0,0.0,1.0,0.0,0.44517343615330585,0.4518010785681904,0.49001831417763897,40.7,63.0,76.6,0.12645833333333328,0.22499999999999998,0.39060634328358196,0.0,5428.435774191463,robust_occurrence,recurring_unstable_candidate
T029,15425438.104999997,5034884.432499999,0.4593694302789482,internal_partial,15,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0,0.0,0.4593694302789482,0.4594601962324539,0.5281433465602279,29.400000000000002,54.0,57.199999999999996,0.33,0.3375,0.635162601626016,0.0,3585.1776843428447,robust_occurrence,recurring_unstable_candidate
T030,15403580.96214286,5033384.4325,0.4796737119263844,internal_partial,15,12,0.8666666666666667,0.8,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.2,1.0,0.0,0.4643761300479595,0.4796737119263844,0.5734297159110181,12.65,34.0,52.84999999999998,0.44500000000000006,0.5875,0.8557469512195122,0.0,6161.068910971062,robust_occurrence,recurring_unstable_candidate
