vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(N_BA)Number of branch faults per unit area,6(N_LA)The number of fault lines per unit area
15332475.39,5010890.548,15335475.39,5010890.548,15335475.39,5007890.548,15332475.39,5007890.548,63515106.93,7.87E-09,7.87E-09,1018.003026,509.0015131,509.0015131,0,0,0,0.008158139,0.00407907,,8.01E-06,,8.01E-06,0.5,1,0.5,1,509.0015131,509.0015131,509.0015131,0,0,1,0,7.87E-09,31757553.47
15332475.39,5007890.548,15335475.39,5007890.548,15335475.39,5004890.548,15332475.39,5004890.548,63515106.93,7.87E-09,7.87E-09,2685.682679,1342.841339,1342.841339,0,0,0,0.056780912,0.028390456,,2.11E-05,,2.11E-05,0.5,1,0.5,1,1342.841339,1342.841339,1342.841339,0,0,1,0,7.87E-09,31757553.47
15332475.39,5004890.548,15335475.39,5004890.548,15335475.39,5001890.548,15332475.39,5001890.548,63515106.93,7.87E-09,7.87E-09,876.5522097,438.2761049,438.2761049,0,0,0,0.006048512,0.003024256,,6.90E-06,,6.90E-06,0.5,1,0.5,1,438.2761049,438.2761049,438.2761049,0,0,1,0,7.87E-09,31757553.47
15332475.39,5001890.548,15335475.39,5001890.548,15335475.39,4998890.548,15332475.39,4998890.548,63515106.93,7.87E-09,7.87E-09,2262.113564,1131.056782,1131.056782,0,0,0,0.040282997,0.020141499,,1.78E-05,,1.78E-05,0.5,1,0.5,1,1131.056782,1131.056782,1131.056782,0,0,1,0,7.87E-09,31757553.47
15332475.39,4998890.548,15335475.39,4998890.548,15335475.39,4995890.548,15332475.39,4995890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4995890.548,15335475.39,4995890.548,15335475.39,4992890.548,15332475.39,4992890.548,63515106.93,7.87E-09,7.87E-09,745.2408512,372.6204256,372.6204256,0,0,0,0.004372062,0.002186031,,5.87E-06,,5.87E-06,0.5,1,0.5,1,372.6204256,372.6204256,372.6204256,0,0,1,0,7.87E-09,31757553.47
15332475.39,4992890.548,15335475.39,4992890.548,15335475.39,4989890.548,15332475.39,4989890.548,63515106.93,7.87E-09,7.87E-09,6496.554868,3248.277434,3248.277434,0,0,0,0.332245565,0.166122782,,5.11E-05,,5.11E-05,0.5,1,0.5,1,3248.277434,3248.277434,3248.277434,0,0,1,0,7.87E-09,31757553.47
15332475.39,4989890.548,15335475.39,4989890.548,15335475.39,4986890.548,15332475.39,4986890.548,63515106.93,7.87E-09,7.87E-09,7103.647989,3551.823994,3551.823994,0,0,0,0.397242618,0.198621309,,5.59E-05,,5.59E-05,0.5,1,0.5,1,3551.823994,3551.823994,3551.823994,0,0,1,0,7.87E-09,31757553.47
15332475.39,4986890.548,15335475.39,4986890.548,15335475.39,4983890.548,15332475.39,4983890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4983890.548,15335475.39,4983890.548,15335475.39,4980890.548,15332475.39,4980890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4980890.548,15335475.39,4980890.548,15335475.39,4977890.548,15332475.39,4977890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4977890.548,15335475.39,4977890.548,15335475.39,4974890.548,15332475.39,4974890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4974890.548,15335475.39,4974890.548,15335475.39,4971890.548,15332475.39,4971890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4971890.548,15335475.39,4971890.548,15335475.39,4968890.548,15332475.39,4968890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4968890.548,15335475.39,4968890.548,15335475.39,4965890.548,15332475.39,4965890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4965890.548,15335475.39,4965890.548,15335475.39,4962890.548,15332475.39,4962890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4962890.548,15335475.39,4962890.548,15335475.39,4959890.548,15332475.39,4959890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4959890.548,15335475.39,4959890.548,15335475.39,4956890.548,15332475.39,4956890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4956890.548,15335475.39,4956890.548,15335475.39,4953890.548,15332475.39,4953890.548,63515106.93,7.87E-09,7.87E-09,4727.473522,2363.736761,2363.736761,0,0,0,0.175934569,0.087967284,,3.72E-05,,3.72E-05,0.5,1,0.5,1,2363.736761,2363.736761,2363.736761,0,0,1,0,7.87E-09,31757553.47
15332475.39,4953890.548,15335475.39,4953890.548,15335475.39,4950890.548,15332475.39,4950890.548,63515106.93,7.87E-09,7.87E-09,8934.922248,4467.461124,4467.461124,0,0,0,0.628455492,0.314227746,,7.03E-05,,7.03E-05,0.5,1,0.5,1,4467.461124,4467.461124,4467.461124,0,0,1,0,7.87E-09,31757553.47
15332475.39,4950890.548,15335475.39,4950890.548,15335475.39,4947890.548,15332475.39,4947890.548,63515106.93,0,0,0,4898.662651,4898.662651,0,0,0,0,0.377813987,,7.71E-05,,7.71E-05,0,1,0,1,4898.662651,4898.662651,4898.662651,0,0,0,0,0,0
15332475.39,4947890.548,15335475.39,4947890.548,15335475.39,4944890.548,15332475.39,4944890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15332475.39,4944890.548,15335475.39,4944890.548,15335475.39,4941890.548,15332475.39,4941890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5121890.548,15338475.39,5121890.548,15338475.39,5118890.548,15335475.39,5118890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5118890.548,15338475.39,5118890.548,15338475.39,5115890.548,15335475.39,5115890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5115890.548,15338475.39,5115890.548,15338475.39,5112890.548,15335475.39,5112890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15335475.39,5112890.548,15338475.39,5112890.548,15338475.39,5109890.548,15335475.39,5109890.548,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
