vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(NB/A)Number of branch faults per unit area ,6(N_LA)The number of fault lines per unit area 
15337126.94,5049944.148,15340126.94,5049944.148,15340126.94,5046944.148,15337126.94,5046944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5046944.148,15340126.94,5046944.148,15340126.94,5043944.148,15337126.94,5043944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5043944.148,15340126.94,5043944.148,15340126.94,5040944.148,15337126.94,5040944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5040944.148,15340126.94,5040944.148,15340126.94,5037944.148,15337126.94,5037944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5037944.148,15340126.94,5037944.148,15340126.94,5034944.148,15337126.94,5034944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5034944.148,15340126.94,5034944.148,15340126.94,5031944.148,15337126.94,5031944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5031944.148,15340126.94,5031944.148,15340126.94,5028944.148,15337126.94,5028944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5028944.148,15340126.94,5028944.148,15340126.94,5025944.148,15337126.94,5025944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5025944.148,15340126.94,5025944.148,15340126.94,5022944.148,15337126.94,5022944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5022944.148,15340126.94,5022944.148,15340126.94,5019944.148,15337126.94,5019944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5019944.148,15340126.94,5019944.148,15340126.94,5016944.148,15337126.94,5016944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5016944.148,15340126.94,5016944.148,15340126.94,5013944.148,15337126.94,5013944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5013944.148,15340126.94,5013944.148,15340126.94,5010944.148,15337126.94,5010944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5010944.148,15340126.94,5010944.148,15340126.94,5007944.148,15337126.94,5007944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5007944.148,15340126.94,5007944.148,15340126.94,5004944.148,15337126.94,5004944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,5004944.148,15340126.94,5004944.148,15340126.94,5001944.148,15337126.94,5001944.148,63515106.93,7.87E-09,7.87E-09,2007.403008,1003.701504,1003.701504,0,0,0,0.031722113,0.015861057,,1.58E-05,,1.58E-05,0.5,1,0.5,1,1003.701504,1003.701504,1003.701504,0,0,1,0,7.87E-09,31757553.47
15337126.94,5001944.148,15340126.94,5001944.148,15340126.94,4998944.148,15337126.94,4998944.148,63515106.93,2.36E-08,2.36E-08,5652.689455,2640.153694,2925.383052,0,0,0,0.754613342,0.377306671,,0.000133496,,0.000133496,1.5,3,1.5,3,2826.344728,2640.153694,2925.383052,0,0,1,0,2.36E-08,95272660.4
15337126.94,4998944.148,15340126.94,4998944.148,15340126.94,4995944.148,15337126.94,4995944.148,63515106.93,3.15E-08,3.15E-08,4406.039077,2481.039721,3493.741,0,0,0,0.611293322,0.407528881,,0.00013874,,0.00013874,2,3,2,3,2937.359384,2481.039721,3493.741,0,0,1,0,3.15E-08,127030213.9
15337126.94,4995944.148,15340126.94,4995944.148,15340126.94,4992944.148,15337126.94,4992944.148,63515106.93,7.87E-09,7.87E-09,6188.442057,3094.221028,3094.221028,0,0,0,0.301478002,0.150739001,,4.87E-05,,4.87E-05,0.5,1,0.5,1,3094.221028,3094.221028,3094.221028,0,0,1,0,7.87E-09,31757553.47
15337126.94,4992944.148,15340126.94,4992944.148,15340126.94,4989944.148,15337126.94,4989944.148,63515106.93,3.15E-08,3.15E-08,7215.05312,337.1421567,7779.032596,0,0,0,1.639200311,0.819600156,,0.000227192,,0.000227192,2,4,2,4,3607.52656,337.1421567,7779.032596,0,0,1,0,3.15E-08,127030213.9
15337126.94,4989944.148,15340126.94,4989944.148,15340126.94,4986944.148,15337126.94,4986944.148,63515106.93,4.72E-08,4.72E-08,9006.070862,542.5343705,8897.536449,0,0,0,3.8310246,1.9155123,,0.000425382,,0.000425382,3,6,3,6,4503.035431,542.5343705,8897.536449,0,0,1,0,4.72E-08,190545320.8
15337126.94,4986944.148,15340126.94,4986944.148,15340126.94,4983944.148,15337126.94,4983944.148,63515106.93,5.51E-08,5.51E-08,7535.749281,1296.039373,8694.605991,0,0,0,3.129276166,1.825411097,,0.000415257,,0.000415257,3.5,6,3.5,6,4395.853747,1296.039373,8694.605991,0,0,1,0,5.51E-08,222302874.3
15337126.94,4983944.148,15340126.94,4983944.148,15340126.94,4980944.148,15337126.94,4980944.148,63515106.93,0,0,0,566.4141284,7244.619088,0,0,0,0,0.480297073,,0.000122979,,0.000122979,0,2,0,2,3905.516608,566.4141284,7244.619088,0,0,0,0,0,0
15337126.94,4980944.148,15340126.94,4980944.148,15340126.94,4977944.148,15337126.94,4977944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4977944.148,15340126.94,4977944.148,15340126.94,4974944.148,15337126.94,4974944.148,63515106.93,7.87E-09,7.87E-09,14.91922014,7.45961007,7.45961007,0,0,0,1.75E-06,8.76E-07,,1.17E-07,,1.17E-07,0.5,1,0.5,1,7.45961007,7.45961007,7.45961007,0,0,1,0,7.87E-09,31757553.47
15337126.94,4974944.148,15340126.94,4974944.148,15340126.94,4971944.148,15337126.94,4971944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4971944.148,15340126.94,4971944.148,15340126.94,4968944.148,15337126.94,4968944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4968944.148,15340126.94,4968944.148,15340126.94,4965944.148,15337126.94,4965944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4965944.148,15340126.94,4965944.148,15340126.94,4962944.148,15337126.94,4962944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4962944.148,15340126.94,4962944.148,15340126.94,4959944.148,15337126.94,4959944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4959944.148,15340126.94,4959944.148,15340126.94,4956944.148,15337126.94,4956944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4956944.148,15340126.94,4956944.148,15340126.94,4953944.148,15337126.94,4953944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4953944.148,15340126.94,4953944.148,15340126.94,4950944.148,15337126.94,4950944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4950944.148,15340126.94,4950944.148,15340126.94,4947944.148,15337126.94,4947944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4947944.148,15340126.94,4947944.148,15340126.94,4944944.148,15337126.94,4944944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15337126.94,4944944.148,15340126.94,4944944.148,15340126.94,4941944.148,15337126.94,4941944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5088944.148,15343126.94,5088944.148,15343126.94,5085944.148,15340126.94,5085944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5085944.148,15343126.94,5085944.148,15343126.94,5082944.148,15340126.94,5082944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5082944.148,15343126.94,5082944.148,15343126.94,5079944.148,15340126.94,5079944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5079944.148,15343126.94,5079944.148,15343126.94,5076944.148,15340126.94,5076944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5076944.148,15343126.94,5076944.148,15343126.94,5073944.148,15340126.94,5073944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5073944.148,15343126.94,5073944.148,15343126.94,5070944.148,15340126.94,5070944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5070944.148,15343126.94,5070944.148,15343126.94,5067944.148,15340126.94,5067944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5067944.148,15343126.94,5067944.148,15343126.94,5064944.148,15340126.94,5064944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5064944.148,15343126.94,5064944.148,15343126.94,5061944.148,15340126.94,5061944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5061944.148,15343126.94,5061944.148,15343126.94,5058944.148,15340126.94,5058944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15340126.94,5058944.148,15343126.94,5058944.148,15343126.94,5055944.148,15340126.94,5055944.148,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
