vertex1_x,vertex1_y,vertex2_x,vertex2_y,vertex3_x,vertex3_y,vertex4_x,vertex4_y,Area,Areal Frequency B20,Areal Frequency P20,Branch Mean Length,Branch Min Length,Branch Max Length,Connections per Branch,Connections per Trace,Connection Frequency,Dimensionless Intensity B22,Dimensionless Intensity P22,Fracture Density (Mauldon),Fracture Intensity B21,Fracture Intensity (Mauldon),Fracture Intensity P21,Number of Branches,Number of Branches (Real),Number of Traces,Number of Traces (Real),Trace Mean Length,Trace Min Length,Trace Max Length,1(NC/NB)Number of connected nodes per branch,2(NC/NL)Number of connected nodes per fault line,3(NB/NL)Number of branches per fault line,4(NC/A)Number of connected nodes per unit area,5(NB/A)Number of branch faults per unit area ,6(NL/A)The number of fault lines per unit area 
15333749.27,5031824.717,15336749.27,5031824.717,15336749.27,5028824.717,15333749.27,5028824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5028824.717,15336749.27,5028824.717,15336749.27,5025824.717,15333749.27,5025824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5025824.717,15336749.27,5025824.717,15336749.27,5022824.717,15333749.27,5022824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5022824.717,15336749.27,5022824.717,15336749.27,5019824.717,15333749.27,5019824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5019824.717,15336749.27,5019824.717,15336749.27,5016824.717,15333749.27,5016824.717,63515106.93,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15333749.27,5016824.717,15336749.27,5016824.717,15336749.27,5013824.717,15333749.27,5013824.717,63515106.93,0,0,0,4060.262755,4060.262755,0,0,0,0,0.259556103,,6.39E-05,,6.39E-05,0,1,0,1,4060.262755,4060.262755,4060.262755,0,0,0,0,0,0
15333749.27,5013824.717,15336749.27,5013824.717,15336749.27,5010824.717,15333749.27,5010824.717,63515106.93,0,0,0,7099.263669,7099.263669,0,0,0,0,0.793504838,,0.000111773,,0.000111773,0,1,0,1,7099.263669,7099.263669,7099.263669,0,0,0,0,0,0
15333749.27,5010824.717,15336749.27,5010824.717,15336749.27,5007824.717,15333749.27,5007824.717,63515106.93,0,0,0,8140.817509,8140.817509,0,0,0,0,1.043419635,,0.000128171,,0.000128171,0,1,0,1,8140.817509,8140.817509,8140.817509,0,0,0,0,0,0
15333749.27,5007824.717,15336749.27,5007824.717,15336749.27,5004824.717,15333749.27,5004824.717,63515106.93,0,0,0,8475.28461,8475.28461,0,0,0,0,1.130919126,,0.000133437,,0.000133437,0,1,0,1,8475.28461,8475.28461,8475.28461,0,0,0,0,0,0
15333749.27,5004824.717,15336749.27,5004824.717,15336749.27,5001824.717,15333749.27,5001824.717,63515106.93,0,0,0,8346.673361,8346.673361,0,0,0,0,1.096856473,,0.000131412,,0.000131412,0,1,0,1,8346.673361,8346.673361,8346.673361,0,0,0,0,0,0
